valley_precip_3m,year,valleyname,valley_precip_3m_scaled,valley_precip_3m_scaled_lagged,valley_precip,valley_precip_annual_scaled,valley_precip_annual_scaled_lagged
78482.087581221,1981,avoca,0.9089613750541996,NA,NA,NA,NA
25495.839914871198,1982,avoca,-2.000469615871281,0.9089613750541996,132194.94140002097,-1.9951818243309485,NA
94275.61920974297,1983,avoca,1.7761711209778648,-2.000469615871281,211996.8950734738,0.3141238273933948,-1.9951818243309485
78738.33963919873,1984,avoca,0.9230319634012648,1.7761711209778648,209264.15218895953,0.23504382624778825,0.3141238273933948
68999.25096132001,1985,avoca,0.38826666729620046,0.9230319634012648,158916.77506748625,-1.221906501207579,0.23504382624778825
85495.60812780455,1986,avoca,1.2940679816252798,0.38826666729620046,222388.76358215284,0.6148432906946042,-1.221906501207579
53463.63829020448,1987,avoca,-0.4647809622128303,1.2940679816252798,217112.34334467782,0.46215445897584884,0.6148432906946042
65196.57734487784,1988,avoca,0.1794650073311803,-0.4647809622128303,229438.28253721635,0.8188419801437529,0.46215445897584884
63561.49893245419,1989,avoca,0.0896842054209565,0.1794650073311803,240083.7663770549,1.1269005534623335,0.8188419801437529
61025.979101564604,1990,avoca,-0.04953908928275933,0.0896842054209565,187319.6643503188,-0.3999848598585188,1.1269005534623335
72277.14171378147,1991,avoca,0.5682529346788594,-0.04953908928275933,194953.55536362785,-0.17907563583350908,-0.3999848598585188
81536.98374096926,1992,avoca,1.0767031939729106,0.5682529346788594,196564.9951070255,-0.13244385884633314,-0.17907563583350908
82462.99448003247,1993,avoca,1.1275496769910187,1.0767031939729106,270246.35135788575,1.9997441965123905,-0.13244385884633314
32019.641256281684,1994,avoca,-1.6422530854073782,1.1275496769910187,188798.16756214885,-0.3571999947517948,1.9997441965123905
59022.88058729545,1995,avoca,-0.15952757029370296,-1.6422530854073782,197609.54828846775,-0.10221662186286447,-0.3571999947517948
91603.54884525276,1996,avoca,1.6294499495272101,-0.15952757029370296,228017.6116830591,0.7777306654236879,-0.10221662186286447
